dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2020-07-16T17:30:00Z","2020-07-16T18:30:00Z","2024-03-25T08:46:59Z","","6hgm2e9m6sp30b9hc8o38b9k64ojgb9pc9j62b9m6ss3ep9o6sp38p1j6c@google.com","","2020-07-19T18:47:12Z","","2020-07-19T18:47:12Z","","0","CONFIRMED","Webshoppen","OPAQUE"
"2020-07-23T17:30:00Z","2020-07-23T18:30:00Z","2024-03-25T08:46:59Z","","7e3s6gduj55mtfcjeofai6824g@google.com","","2020-07-20T17:59:12Z","","2020-07-20T17:59:12Z","","0","CONFIRMED","Webshoppen","OPAQUE"
"2020-07-21T17:00:00Z","2020-07-21T18:00:00Z","2024-03-25T08:46:59Z","","64oj4dhl6gsj6bb66csmcb9k68pjab9o6sqj8b9k6srmap9m6oqmce1o6s@google.com","","2020-07-20T20:48:11Z","","2020-07-20T20:48:11Z","","0","CONFIRMED","Chillen met Koen Dekker","OPAQUE"
"2020-07-25T12:00:00Z","2020-07-25T13:00:00Z","2024-03-25T08:46:59Z","","60rmap9i60rmab9g6cqj0b9k6krm6b9pcgp38b9ic8oj2pj5chimcp9gco@google.com","","2020-07-24T17:12:11Z","","2020-07-25T11:15:14Z","","1","CONFIRMED","Ardi bellen","OPAQUE"
"2020-07-29T16:00:00Z","2020-07-29T17:00:00Z","2024-03-25T08:46:59Z","","60s36phn61gm4b9i6cpm2b9kchj30bb161j3gb9g6di3edhp6gs62chn6o@google.com","","2020-07-26T12:05:31Z","","2020-07-26T12:05:43Z","","1","CONFIRMED","Bij Michiel eteb","OPAQUE"
"2020-08-28T14:00:00Z","2020-08-28T15:00:00Z","2024-03-25T08:46:59Z","","6hh64phn6ksjgbb56kq3ab9k6oq68bb2ccsjcb9h65i6cchg6himacr674@google.com","","2020-07-30T19:14:23Z","","2020-07-30T19:14:38Z","","1","CONFIRMED","KvK inschrijven (Amersfoort)","OPAQUE"
"2020-08-27T20:00:00Z","2020-08-27T21:00:00Z","2024-03-25T08:46:59Z","","6so68p9oc4r3ab9hchj3ab9kcor68bb264o64b9hcgq3ccr26lj62ob568@google.com","","2020-07-30T19:14:56Z","","2020-07-30T19:14:56Z","","0","CONFIRMED","Vroeg naar bed (half 8 beginnen!)","OPAQUE"
"2020-08-05T16:00:00Z","2020-08-05T17:00:00Z","2024-03-25T08:46:59Z","","c4pm6e1m64p6cb9k6gs32b9k60oj8bb2cph34bb56di3ipb575gj0dpncg@google.com","","2020-08-04T13:02:51Z","","2020-08-04T13:02:51Z","","0","CONFIRMED","Uit eten met Mirjam","OPAQUE"
"2020-08-06T17:00:00Z","2020-08-06T18:00:00Z","2024-03-25T08:46:59Z","","cgr68c36c8q36bb468r62b9k6hh68b9o60sjab9p6cpjip9p6osjcdb670@google.com","","2020-08-04T13:04:49Z","","2020-08-04T13:04:49Z","","0","CONFIRMED","Bij ouders eten","OPAQUE"
"2020-08-06T12:00:00Z","2020-08-06T13:00:00Z","2024-03-25T08:46:59Z","","cpijce34chi3eb9jc9j66b9k65h6abb16dhmcbb4c4sm8e9o60p36cb5c4@google.com","","2020-08-05T14:43:01Z","","2020-08-05T14:43:01Z","","0","CONFIRMED","Met opa en oma cadeaus halen","OPAQUE"
"2020-08-07T12:00:00Z","2020-08-07T13:00:00Z","2024-03-25T08:46:59Z","","6lijie1n6th32bb261hj8b9kc4s3abb16hj62bb675h3aphp6dhmcd9p64@google.com","","2020-08-05T14:43:16Z","","2020-08-05T14:43:29Z","","0","CONFIRMED","Dubbelzijdig tape halen (ontvetten met spiritus)","OPAQUE"
"2020-08-09T13:00:00Z","2020-08-09T14:00:00Z","2024-03-25T08:46:59Z","","6pi66ohl6cr62b9kckrj6b9k6sr3ib9o60q36b9icgr3ed9h6kpmaphn6c@google.com","","2020-08-05T22:53:57Z","","2020-08-05T22:53:57Z","","0","CONFIRMED","Met Yasmin wat drinken","OPAQUE"
"2020-08-17T16:00:00Z","2020-08-17T17:00:00Z","2024-03-25T08:46:59Z","","cgoj8cb6cdhjib9hcosm2b9k75gm4b9oc4s6cb9j6ss36ob1cpi38c9l64@google.com","","2020-08-13T11:44:01Z","","2020-08-13T11:44:01Z","","0","CONFIRMED","Bij opa en oma eten","OPAQUE"
"2020-08-16T15:00:00Z","2020-08-16T16:00:00Z","2024-03-25T08:46:59Z","","6pij0chmccsm4b9mchgjgb9k74qj0b9o6cpj2b9i6hgjgp1kcgq64dho6k@google.com","","2020-08-13T11:44:10Z","","2020-08-13T11:44:10Z","","0","CONFIRMED","Met Yasmin koken","OPAQUE"
"2020-08-15T15:00:00Z","2020-08-15T17:00:00Z","2024-03-25T08:46:59Z","","cgp6aohh60p6ab9icosj4b9k70pjib9oc8qj6b9hccs38oj260pjior46o@google.com","","2020-08-13T11:44:17Z","","2020-08-13T11:44:41Z","","2","CONFIRMED","Met Ash naar sumo","OPAQUE"
"2020-08-14T15:00:00Z","2020-08-14T16:00:00Z","2024-03-25T08:46:59Z","","ccsm8d3175i3ibb26oq6ab9kckqjgb9o68rm2b9p6ti3ie1hcgqjee1gcc@google.com","","2020-08-13T11:44:55Z","","2020-08-13T11:44:55Z","","0","CONFIRMED","Naar Leiden op vakantie","OPAQUE"
"2020-08-18T18:00:00Z","2020-08-18T19:00:00Z","2024-03-25T08:46:59Z","","ccp6ac1pchj34b9kc5gj0b9k68s3ab9pccrjib9i75i3ce1iccr64pj170@google.com","","2020-08-18T06:18:06Z","","2020-08-18T06:18:06Z","","0","CONFIRMED","Niels","OPAQUE"
"2020-08-24T16:00:00Z","2020-08-24T17:00:00Z","2024-03-25T08:46:59Z","","4c8t1aqtd8nl7pfb1c720ucnsh@google.com","","2020-08-18T17:27:39Z","","2020-08-18T17:27:39Z","","0","CONFIRMED","Eten bij opa en oma","OPAQUE"
