dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2020-07-13T08:30:00","2020-07-13T17:30:00","2024-03-25T08:46:59Z","","7dtb5lfh3fb955vj4nrf4glvg5@google.com","","2020-07-11T12:04:06Z","Werken bij MedWeb","2020-07-20T20:47:46Z","Melkpad 37, 1217 KB Hilversum, Netherlands","0","CONFIRMED","Werken (MedWeb)","OPAQUE"
"2020-07-14T17:30:00","2020-07-14T19:00:00","2024-03-25T08:46:59Z","","15tv4nl8o282ogqn9ad8q6n6nc@google.com","","2020-07-11T12:05:14Z","Een uurtje sporten, voor de spiertjes","2020-07-20T20:47:55Z","Basic-Fit Fitness Hilversum Kerkstraat, Herenstraat 36, 1211 CC Hilversum, Netherlands","0","CONFIRMED","Sportschool","OPAQUE"
"2020-07-13T21:00:00","2020-07-13T22:00:00","2024-03-25T08:46:59Z","","4ch0pbik56o453qbp24b7m0f5q@google.com","","2020-07-11T12:06:40Z","","2020-07-20T20:48:37Z","","0","CONFIRMED","Hardlopen","OPAQUE"
"2020-07-13T22:00:00","2020-07-13T23:00:00","2024-03-25T08:46:59Z","","1db573h7fkokmef90d7ch7h3r5@google.com","","2020-07-11T12:08:12Z","","2020-07-20T20:48:48Z","Leeuweriklaan 41, 1403 CL Bussum, Netherlands","0","CONFIRMED","Cursus volgen","OPAQUE"
"2020-07-20T08:00:00","2020-07-20T16:30:00","2024-03-25T08:46:59Z","","n849fc0q8hjq5nkuoicje8o47l@google.com","","2020-07-11T12:04:06Z","Werken bij MedWeb","2020-09-04T08:22:35Z","Melkpad 37, 1217 KB Hilversum, Netherlands","1","CONFIRMED","Werken (MedWeb)","OPAQUE"
"2020-07-21T16:30:00","2020-07-21T18:00:00","2024-03-25T08:46:59Z","","u2vcmbcpinmc2d91mipuvehu8v@google.com","","2020-07-11T12:05:14Z","Een uurtje sporten, voor de spiertjes","2020-10-11T11:31:04Z","Basic-Fit Fitness Hilversum Kerkstraat, Herenstraat 36, 1211 CC Hilversum, Netherlands","1","CONFIRMED","Sportschool","OPAQUE"
"2020-10-10T16:00:00","2020-10-10T17:30:00","2024-03-25T08:46:59Z","","u2vcmbcpinmc2d91mipuvehu8v@google.com","","2020-07-11T12:05:14Z","Een uurtje sporten, voor de spiertjes","2020-10-11T11:31:04Z","Basic-Fit Fitness Hilversum Kerkstraat, Herenstraat 36, 1211 CC Hilversum, Netherlands","2","CONFIRMED","Sportschool","OPAQUE"
"2020-10-18T09:00:00Z","2020-10-18T10:00:00Z","2024-03-25T08:46:59Z","","64o64oj5c4o3ibb3c8r32b9k6pim6bb1c8pj8b9j60o68cpj6di3gchp6c@google.com","","2020-10-11T11:34:49Z","","2020-10-11T11:34:49Z","","0","CONFIRMED","Hardlopen","OPAQUE"
"2020-10-15T16:00:00Z","2020-10-15T17:00:00Z","2024-03-25T08:46:59Z","","74rjgdpoccsjcb9g6hj62b9kclj3cb9o6li66bb36gpm8cpn6kqj8o9kcg@google.com","","2020-10-11T11:35:02Z","","2020-10-11T11:35:02Z","","0","CONFIRMED","Hardlopen","OPAQUE"
"2020-07-21T21:00:00","2020-07-21T22:00:00","2024-03-25T08:46:59Z","","b5uru7scb49cj369is49qou9bt@google.com","","2020-07-11T12:06:40Z","","2020-10-11T11:35:19Z","","1","CONFIRMED","Hardlopen","OPAQUE"
